Nivell / Nivel,gid,latitud,longitud
2,15,39.49876263098719, -0.3876610998962941
2,16,39.52431138976168, -0.37245136952351227
3,18,39.43030654004151, -0.36865880529221473
3,20,39.451943046981334, -0.3527951971241042
3,23,39.475539033281386, -0.3666062962050727
3,27,39.535095016414246, -0.35054607167975554
4,28,39.37398202486245, -0.3267192112795055
4,31,39.45875660817489, -0.36265440360561646
4,34,39.48634006784158, -0.38931261801896455
5,37,39.351593375839734, -0.31793099722181145
5,38,39.45116796289664, -0.33343350243223274
5,41,39.49754454324005, -0.38860097149583256
5,44,39.4519079818712, -0.3863419538293604
5,47,39.49781091302244, -0.3995219556024448
6,48,39.44659763301247, -0.4008803873150248
6,51,39.476830954169635, -0.35965004910910015
6,52,39.46756523206959, -0.3349365792681386
2,9,39.443118048335485, -0.36931774795664213
2,13,39.47701877936533, -0.36149035774288707
2,14,39.48594054340527, -0.37890322827894063
3,17,39.36943038534878, -0.32659111613079067
4,29,39.437742825456176, -0.37680237729413707
4,32,39.46715038751589, -0.3679001839270013
4,33,39.474771663615, -0.3663276970196922
4,35,39.49968747155428, -0.39290830300704566
4,36,39.46984882565997, -0.33388655628273217
5,39,39.45598307872085, -0.3737178272344088
5,40,39.44514873746142, -0.3538252845268089
6,49,39.43997516633555, -0.36361062992208515
1,1,39.34270382975217, -0.32003160052629004
1,4,39.47086955883814, -0.36517062465152605
1,6,39.520737180512974, -0.38032255241786456
2,8,39.384231472038174, -0.33561844995661555
2,10,39.453580770643825, -0.35601762317495644
2,11,39.46314901605557, -0.3654715429115562
2,12,39.47004157276867, -0.3697779601614392
3,19,39.44697238100777, -0.36737118207821495
3,21,39.462957994595065, -0.37359309923693046
3,22,39.46860745947365, -0.36513203143893447
3,24,39.47812911441683, -0.3640962655666757
3,25,39.48807980679298, -0.3794002611399134
3,26,39.50204129498561, -0.3901719482893373
4,30,39.44781155247777, -0.3681893679212688
5,42,39.488977401574914, -0.35876187304340607
5,43,39.43754124661917, -0.3665086689490027
5,45,39.46871876767301, -0.38447878279609293
5,46,39.47919695090479, -0.3662652792193765
6,50,39.48534900718331, -0.3965597767892478
1,2,39.36689075613487, -0.3237392638254029
1,5,39.48825964626697, -0.3839458886503934
1,3,39.451725669521416, -0.37110169694457756
2,7,39.3536274681546, -0.32046600631430494
